Product,Purpose,experiment,run,Project_Name,run_label,Strain,strain_key,Feedstock_Parent1,Start_Time,Stop_Time,has_switch,is_multiple_OTR_strain,Viable_Cell_Density__g_over_L,Product_Flux_Viable_Cells__mmol_over_gDCW_over_h,Growth_Rate_Viable_Cells__1_over_h,Death_Rate_Avg__1_over_h,Death_Rate_Avg_Viable_Cells__1_over_h,TRS_Flux_Viable_Cells__mmol_over_gDCW_over_h,TRS_Flux__mmol_over_gDCW_over_h,TRS_for_Other_Viable_Cells__mmol_over_gDCW_over_h,sOUR_Viable_Cells__mmol_over_gDCW_over_h,TRS_to_Maintenance_Flux__mmol_over_gDCW_over_h,Est_Liquid_Solid_Yield__percent,Est_Liquid_Liquid_Yield__percent,Est_Recovery__percent,Protocol,Feed_Type,Overlay,has_overlay,Overlay_Concentration__Percent,Base_Used,Cell_Association_End__percent,Unadjusted_Productivity_g_l_h,Unadjusted_Yield_wt_percent,Product_O2_Ratio__mol_over_mol,Cell_Density_End__gDCW_over_L,Run_Execution,Run_Performance,Tank_Conditions1,Tank_Conditions2,Absolute_Interval,interval_day,interval_end_day,is_curated_interval,productivity_method,Unadjusted_TRS_consumption_rate__g_over_gDCW_over_h,TRS_for_Product__gTRS,TRS_for_Biomass__gTRS,TRS_for_Glycerol__gTRS,TRS_for_Other__gTRS,TRS__g,Interval_biomass__gDCW_over_L,TRS_consumed__g,Product_Produced__g,TRS_to_maint__g,Growth_Rate__hr_1,Flux__g_product_over_gDCW_over_hr,Product_Flux__mmol_over_gDCW_over_h,Target_OTR,OUR__mmol_O2_over_L_over_hr,sOUR___mmol_O2_over_gdcw_over_h,Generation,N,alpha_N,alpha_delta_N,alpha_gamma_N,beta_N,beta_delta_N,beta_gamma_N,delta_N,fail_N,fail_rate,gamma_N,pass_N,pass_rate,prob_alpha,prob_beta,prob_gamma,prob_delta,prob_alpha_delta,prob_alpha_gamma,prob_beta_delta,prob_beta_gamma,prob_gamma_given_alpha,prob_gamma_given_beta,prob_delta_given_alpha,prob_delta_given_beta,Titer_End__g_over_kg,Ethanol_End__g_over_L,Acetate_End__g_over_L,Glycerol_End__g_over_L,Mevalonate_End__g_over_L,Citrate_End__g_over_L,Pyruvate_End__g_over_L,Time_To_Target_OUR__h,seed_build_cell_source,missing_carbon__percent,product_carbon__percent,biomass_carbon__percent,co2_carbon__percent,citrate_carbon__percent,pyruvate_carbon__percent,succinate_carbon__percent,lactate_carbon__percent,glycerol_carbon__percent,formate_carbon__percent,acetate_carbon__percent,mevalonate_carbon__percent,ethanol_carbon__percent,Cap_Cane_PCV_End__percent,Cap_Feedstock_Solids_End__percent,Cap_Heavy_Em_End__percent,Cap_Light_Em_End__percent,Cap_Oil_Em_End__percent,Cap_PCV_End__percent,Cap_Dead_Cell_Layer_End__percent,Zeex9ieJAlt_end__g_L,Zeex9ieJ_mAU_sec_end__area,Zeex9ieJ_Screening_end__g_L,Zeex9ieJ_end__g_L,Zeex9ieJ_end__g_L,Zeex9ieJ_end__g_L,interval_type
Zeex9ieJ,MF,94CB02FEB7,9,Zeex9ieJ for All,12664-9,94CB02FEB7,9427397,m1098919,4/9/21 3:52 PM,160.56,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1536526986,49.62337,100,49.62337,42465F1271,NULL,NULL,0,NULL,NH4OH,NULL,0.07555,1.9955,0.00564,41.33684,alpha,delta,None; None; None,None; 0.50L; 30.00C; None,Day 0-2,2,2,0,NULL,0.0009170633926,2.71611,22.30555,NULL,10.79734,35.819,NULL,35.819,0.71477,10.79734,NULL,0.00183,0.007809366118,110,57.13978,1.38229676,1,21,18,3,15,3,1,2,4,6,0.2857142857,17,15,0.7142857143,0.8571428571,0.1428571429,0.8095238095,0.1904761905,0.1428571429,0.7142857143,0.04761904762,0.09523809524,0.8333333333,0.6666666667,0.1666666667,0.3333333333,2.75121,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vial,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.57894,NULL,0.86059,0,0,14.53607,NULL,1.673583,0.19767,2.751213,0,0.150839,NULL,Cumulative
Zeex9ieJ,MF,94CB02FEB7,9,Zeex9ieJ for All,12664-9,94CB02FEB7,9427397,m1098919,4/9/21 3:52 PM,160.56,0,1,NULL,NULL,NULL,NULL,NULL,NULL,0.451709,NULL,NULL,0.2107905663,49.62337,100,49.62337,42465F1271,NULL,NULL,0,NULL,NH4OH,NULL,0.07148,1.6623,0.00451,53.91415,alpha,delta,None; None; None,None; 0.50L; 30.00C; None,Day 0-3,3,3,0,NULL,0.0009023641942,4.05174,33.17916,NULL,26.9101,64.141,NULL,64.141,1.06625,26.9101,0.02025,0.0015,0.006401119769,110,67.59536,1.253759171,1,21,18,3,15,3,1,2,4,6,0.2857142857,17,15,0.7142857143,0.8571428571,0.1428571429,0.8095238095,0.1904761905,0.1428571429,0.7142857143,0.04761904762,0.09523809524,0.8333333333,0.6666666667,0.1666666667,0.3333333333,3.60046,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vial,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.59743,NULL,1.28676,0,0,18.90319,NULL,4.333049,0.285636,3.60046,0,0.294163,NULL,Cumulative
Zeex9ieJ,MF,94CB02FEB7,9,Zeex9ieJ for All,12664-9,94CB02FEB7,9427397,m1098919,4/9/21 3:52 PM,160.56,0,1,NULL,NULL,NULL,NULL,NULL,NULL,0.307022,NULL,NULL,0.2366416122,49.62337,100,49.62337,42465F1271,NULL,NULL,0,NULL,NH4OH,NULL,0.05489,1.353,0.0039,54.59049,alpha,delta,None; None; None,None; 0.50L; 30.00C; None,Day 0-4,4,4,0,NULL,0.0008130081301,4.18387,34.59063,NULL,42.6025,81.377,NULL,81.377,1.10102,42.6025,0.01131,0.0011,0.004694154497,110,60.08507,1.100650864,1,21,18,3,15,3,1,2,4,6,0.2857142857,17,15,0.7142857143,0.8571428571,0.1428571429,0.8095238095,0.1904761905,0.1428571429,0.7142857143,0.04761904762,0.09523809524,0.8333333333,0.6666666667,0.1666666667,0.3333333333,3.59641,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vial,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.34659,NULL,0.24111,0.96444,0,19.13803,NULL,5.186557,0.289196,3.596406,0,0.325491,NULL,Cumulative
Zeex9ieJ,MF,94CB02FEB7,9,Zeex9ieJ for All,12664-9,94CB02FEB7,9427397,m1098919,4/9/21 3:52 PM,160.56,0,1,NULL,NULL,NULL,NULL,NULL,NULL,0.420256,NULL,NULL,0.2745027564,49.62337,100,49.62337,42465F1271,NULL,NULL,0,NULL,NH4OH,NULL,0.0571,1.1625,0.00327,75.17347,alpha,delta,None; None; None,None; 0.50L; 30.00C; None,Day 0-5,5,5,0,NULL,0.0008774193548,5.44287,48.17561,NULL,69.59752,123.216,NULL,123.216,1.43233,69.59752,0.01424,0.00102,0.004352761443,110,74.6321,0.9927983902,1,21,18,3,15,3,1,2,4,6,0.2857142857,17,15,0.7142857143,0.8571428571,0.1428571429,0.8095238095,0.1904761905,0.1428571429,0.7142857143,0.04761904762,0.09523809524,0.8333333333,0.6666666667,0.1666666667,0.3333333333,4.51334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vial,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.88832,NULL,2.36358,0,0,26.2849,NULL,10.083622,0.394463,4.482558,0.054673,0.277906,0,Cumulative
Zeex9ieJ,MF,94CB02FEB7,9,Zeex9ieJ for All,12664-9,94CB02FEB7,9427397,m1098919,4/9/21 3:52 PM,160.56,0,1,NULL,NULL,NULL,NULL,NULL,NULL,0.405015,NULL,NULL,0.3938847299,49.62337,100,49.62337,42465F1271,NULL,NULL,0,NULL,NH4OH,NULL,0.06095,1.0871,0.00295,52.46816,alpha,delta,None; None; None,None; 0.50L; 30.00C; None,Day 0-6,6,6,0,NULL,0.001011866434,6.97917,43.6085,NULL,118.35933,168.947,NULL,168.947,1.83662,118.35933,0.00906,0.0011,0.004694154497,110,88.19191,1.68086531,1,21,18,3,15,3,1,2,4,6,0.2857142857,17,15,0.7142857143,0.8571428571,0.1428571429,0.8095238095,0.1904761905,0.1428571429,0.7142857143,0.04761904762,0.09523809524,0.8333333333,0.6666666667,0.1666666667,0.3333333333,5.42359,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vial,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.50503,NULL,1.06696,1.7628,0,18.40111,NULL,12.402302,0.500296,5.840546,0.122632,0.30115,0,Cumulative
Zeex9ieJ,MF,94CB02FEB7,9,Zeex9ieJ for All,12664-9,94CB02FEB7,9427397,m1098919,4/9/21 3:52 PM,160.56,0,1,NULL,NULL,NULL,NULL,NULL,NULL,0.472675,NULL,NULL,0.4203598723,49.62337,100,49.62337,42465F1271,NULL,NULL,0,NULL,NH4OH,50.37663,0.06301,1.0493,0.00278,61.62215,alpha,delta,None; None; None,None; 0.50L; 30.00C; None,Day 0-7,7,7,0,NULL,0.001067378252,8.4051,52.43446,0.09463,149.85181,210.786,NULL,210.786,2.21187,149.85181,0.01019,0.00112,0.004779502761,110,96.59729,1.56757416,1,21,18,3,15,3,1,2,4,6,0.2857142857,17,15,0.7142857143,0.8571428571,0.1428571429,0.8095238095,0.1904761905,0.1428571429,0.7142857143,0.04761904762,0.09523809524,0.8333333333,0.6666666667,0.1666666667,0.3333333333,6.10324,1.77221,0.98243,0.30039,0.26047,2.00552,0.09865,NULL,vial,40.54617602,2.0168279,13.62161818,39.54309456,0.8968312555,0.04787352167,1.465964397,0,0.1393797804,0,0.4743832323,0.1502565732,1.097594591,4.75687,NULL,0,0.36243,2.09906,21.57958,NULL,9.002444,0.557426,5.981218,0.255619,0.268377,0,Cumulative
Zeex9ieJ,MF,F9FD5EC4C1,10,Zeex9ieJ for All,11403-10,F9FD5EC4C1,9427397,m1098919,1/20/21 2:30 PM,162.5,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1AB32DA7C5,90% VHP + 10% molasses,NULL,0,NULL,NH4OH,NULL,0,0,0,NULL,alpha,gamma,None; 90% VHP + 10% molasses; None,90% VHP + 10% molasses; 2.00L; 30.00C; None,Day 0-7,7,7,0,NULL,NULL,NULL,NULL,NULL,838.815,838.815,NULL,838.815,0,838.815,NULL,NULL,NULL,90,75.01484,NULL,1,21,18,3,15,3,1,2,4,6,0.2857142857,17,15,0.7142857143,0.8571428571,0.1428571429,0.8095238095,0.1904761905,0.1428571429,0.7142857143,0.04761904762,0.09523809524,0.8333333333,0.6666666667,0.1666666667,0.3333333333,6.23195,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vial,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.080393,NULL,6.35659,0,0,0,Cumulative
Zeex9ieJ,MF,F9FD5EC4C1,10,Zeex9ieJ for All,11403-10,F9FD5EC4C1,9427397,m1098919,1/20/21 2:30 PM,162.5,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1AB32DA7C5,90% VHP + 10% molasses,NULL,0,NULL,NH4OH,NULL,0,0,0,NULL,alpha,gamma,None; 90% VHP + 10% molasses; None,90% VHP + 10% molasses; 2.00L; 30.00C; None,Day 0-7,7,7,1,NULL,NULL,NULL,NULL,NULL,838.815,838.815,NULL,838.815,0,838.815,NULL,NULL,NULL,90,75.01133,NULL,1,21,18,3,15,3,1,2,4,6,0.2857142857,17,15,0.7142857143,0.8571428571,0.1428571429,0.8095238095,0.1904761905,0.1428571429,0.7142857143,0.04761904762,0.09523809524,0.8333333333,0.6666666667,0.1666666667,0.3333333333,6.23195,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vial,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.013593,NULL,6.348808,0,0,0,Cumulative
Zeex9ieJ,MF,F9FD5EC4C1,10,Zeex9ieJ for All,11403-10,F9FD5EC4C1,9427397,m1098919,1/20/21 2:30 PM,162.5,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1AB32DA7C5,90% VHP + 10% molasses,NULL,0,NULL,NH4OH,NULL,0,0,0,NULL,alpha,gamma,None; 90% VHP + 10% molasses; None,90% VHP + 10% molasses; 2.00L; 30.00C; None,Day 0-7,7,7,1,NULL,NULL,NULL,NULL,NULL,838.815,838.815,NULL,838.815,0,838.815,NULL,NULL,NULL,90,75.01133,NULL,1,21,18,3,15,3,1,2,4,6,0.2857142857,17,15,0.7142857143,0.8571428571,0.1428571429,0.8095238095,0.1904761905,0.1428571429,0.7142857143,0.04761904762,0.09523809524,0.8333333333,0.6666666667,0.1666666667,0.3333333333,6.23195,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vial,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.013593,NULL,6.348808,0,0,0,Curated
Zeex9ieJ,MF,F9FD5EC4C1,11,Zeex9ieJ for All,11404-11,F9FD5EC4C1,9427397,m1098919,1/20/21 2:32 PM,161.65,0,1,33.46159777,0.01869929505,NULL,NULL,NULL,NULL,NULL,0.1142851136,1.631830625,0.1019778571,97.75187,100,97.75187,1AB32DA7C5,90% VHP + 10% molasses,Lubricit DIOA-DF,1,16,NH4OH,NULL,0.14674,4.4109,0.01147,37.49993,alpha,gamma,None; 90% VHP + 10% molasses; Lubricit DIOA-DF,90% VHP + 10% molasses; 2.00L; 30.00C; Lubricit DIOA-DF,Day 0-2,2,2,0,NULL,0.000886440409,23.0412,85.98152,NULL,28.44304,137.46576,NULL,137.46576,6.06347,28.44304,NULL,0.00391,0.01668558553,90,54.60366,1.456100318,1,21,18,3,15,3,1,2,4,6,0.2857142857,17,15,0.7142857143,0.8571428571,0.1428571429,0.8095238095,0.1904761905,0.1428571429,0.7142857143,0.04761904762,0.09523809524,0.8333333333,0.6666666667,0.1666666667,0.3333333333,5.38497,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vial,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2839,NULL,0,1.26921,19.57248,13.22645,NULL,1.219728,0.409426,5.384966,0.289402,0.213864,17.83271,Cumulative
Zeex9ieJ,MF,F9FD5EC4C1,11,Zeex9ieJ for All,11404-11,F9FD5EC4C1,9427397,m1098919,1/20/21 2:32 PM,161.65,0,1,44.72504024,0.01423117147,0.03322327429,0.003543638583,0.004033274294,0.6449207765,0.566628,0.138560005,1.554297987,0.1217389506,97.75187,100,97.75187,1AB32DA7C5,90% VHP + 10% molasses,Lubricit DIOA-DF,1,16,NH4OH,NULL,0.14928,3.5979,0.00916,64.30974,alpha,gamma,None; 90% VHP + 10% molasses; Lubricit DIOA-DF,90% VHP + 10% molasses; 2.00L; 30.00C; Lubricit DIOA-DF,Day 0-3,3,3,0,NULL,0.0008143639345,39.47667,171.63734,NULL,77.62957,288.74359,NULL,288.74359,10.3886,77.62957,0.02919,0.00293,0.01250352062,90,69.51604,1.080956633,1,21,18,3,15,3,1,2,4,6,0.2857142857,17,15,0.7142857143,0.8571428571,0.1428571429,0.8095238095,0.1904761905,0.1428571429,0.7142857143,0.04761904762,0.09523809524,0.8333333333,0.6666666667,0.1666666667,0.3333333333,7.88797,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vial,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.49666,NULL,0.63635,0.74499,16.15707,22.55161,NULL,3.583776,1.304346,7.887966,0.244072,0.41504,17.42819,Cumulative
